iso_2,lyrics,iso_a3
AD,"The great Charlemagne, my Father, liberated me from the Saracens, And from heaven he gave me life of Meritxell the great Mother I was born a Princess, a Maiden neutral between two nations I am the only remaining daughter of the Carolingian empire Believing and free for eleven centuries, believing and free I will be The laws of the land be my tutors, and my defender Princes! And Princes my defender!",AND
AE,"Live my country, the unity of our Emirates lives You have lived for a nation Whose religion is Islam and guide is the Qur’an I made you stronger in God’s name, oh homeland My country, My country, My country, My country God has protected you from the evils of the time We have sworn to build and work Work sincerely, work sincerely As long as we live, we will be sincere The safety has lasted and the flag has lived oh our Emirates The symbol of Arabism We all sacrifice for you, we supply you with our blood We sacrifice for you with our souls oh homeland",ARE
AF," This land is Afghanistan It is pride of every Afghan The land of peace, the land of sword Its sons are all braves  This is the country of every tribe Land of Baloochs, and Uzbeks Pashtoons, and Hazaras Turkman and Tajiks  With them, Arabs and Gojars Pamirian, Nooristanian Barahawi, and Qizilbash Also Aimaq, and Pashaye  This Land will shine for ever Like the sun in the blue sky In the chest of Asia It will remain as heart for ever  We will follow the one God We all say, Allah is great, we all say, Allah is great, we all say, Allah is great",AFG
AG," Fair Antigua and Barbuda! We thy sons and daughters stand  Strong and firm in peace or danger  To safe-guard our Native Land  We commit ourselves to building  A true nation brave and free;  Ever striving, ever seeking,  Dwell in love and unity   Raise the standard! Raise it boldly! Answer now to duty’s call To the service of thy country, Sparing nothing, giving all; Gird your loins and join the battle ‘Gainst fear, hate and poverty, Each endeavouring, all achieving, Live in peace where man is free  God of nations, let Thy blessings Fall upon this land of ours; Rain and sunshine ever sending, Fill her fields with crops and flowers; We her children do implore Thee, Give us strength, faith, loyalty, Never failing, all enduring To defend her liberty",ATG
AI," God bless Anguilla Nurture and keep her Noble and beauteous She stands midst the sea Oh land of the happy A haven we’ll make thee Our lives and love We give unto thee  With heart and soul We’ll build a nation Proud, strong and free We’ll love her hold her Dear to our hearts for eternity Let truth and right our banner be We’ll march ever on  Mighty we’ll make her Long may she prosper God grant her leaders wisdom and grace May glory and honour Ever attend her Firm shall she stand Throughout every age ",AIA
AL,"Around our flag we are united, With one will and one desire, A sacred oath are now proclaiming For our salvation to aspire  May only those avoid the struggle, Those who are traitors to our laws, Undaunted is a hero through and through, He dies a martyr to the cause",ALB
AM," Land of our fathers, free, independent, Which has endured from age to age Its sons and daughters now proclaim Armenia, sovereign and free Its sons and daughters now proclaim Armenia, sovereign and free  Brother, take this banner, Made with my own hands, During sleepless nights, And bathed in my tears During sleepless nights, And bathed in my tears  See, it has three colours; A single hallowed symbol May it sparkle before the foe, May Armenia flourish ever! May it sparkle before the foe, May Armenia flourish ever!  Death is everywhere the same, Man is born just once to die, But blest is he who gives his life To defend his nation’s freedom But blest is he who gives his life To defend his nation’s freedom",ARM
AO," O Fatherland, we shall never forget The heroes of the Fourth of February O Fatherland, we salute your sons Who died for our Independence We honour the past and our history As by our work we build the New Man We honour the past and our history As by our work we build the New Man   Forward, Angola! Revolution through the power of the People! A United Country, Freedom, One People, one Nation! Forward, Angola! Revolution through the power of the People! A United Country, Freedom, One People, one Nation!  Let us raise our liberated voices To the glory of the peoples of Africa We shall march, Angolan fighters, In solidarity with oppressed peoples We shall fight proudly for Peace Along with the progressive forces of the world We shall fight proudly for Peace Along with the progressive forces of the world ",AGO
AR,"Hear, mortals, the sacred cry: “Freedom! Freedom! Freedom!” Hear the noise of broken chains, see the noble Equality enthroned Their most honorable throne have opened the United Provinces of the South And the free ones of the world reply: “To the Argentine people, cheers!” “To the Argentine people, cheers!” And the free ones of the world reply: “To the Argentine people, cheers!” And the free ones of the world reply: “To the Argentine people, cheers!”  May the laurels be eternal the ones we managed to win, the ones we managed to win Let us live crowned in glory… or let us swear in glory to die! Or let us swear in glory to die! Or let us swear in glory to die!",ARG
AS,Amerika Samoa My most beloved country I hail from thy name You are my hope and pride You are the pearl of the Pacific Your five islands are all so precious So great and fame are your heritage And also the history of thy name Tutuila and Manu’a stand up and be alert Let us serve to the best our nation Be blessed and productive Amerika Samoa Is the land of promising freedom Let us serve to the best our nation Be blessed and productive Amerika Samoa Is the land of promising freedom,ASM
AT," Land of mountains, land on the River, Land of fields, land of spires, Land of hammers, with a rich future, Home of great daughters and sons, A nation blessed by its sense of beauty, Highly praised Austria, highly praised Austria  Strongly fought for, fiercely contested, You are in the centre of the Continent Like a strong heart, You have born since the earliest days The burden of a high mission Much tried Austria, much tried Austria  Watch us striding free and believing, With courage, into new eras, Working cheerfully and full of hope, In jubilant  let us take in unity The oath of allegiance to you, our country, Our much beloved Austria, our much beloved Austria",AUT
AU," Australians all let us rejoice, For we are one and free;  We’ve golden soil and wealth for toil,  Our home is girt by sea;  Our land abounds in Nature’s gifts  Of beauty rich and rare;  In history’s page, let every stage  Advance Australia fair!  In joyful strains then let us sing,  “Advance Australia fair!”   Beneath our radiant southern Cross,  We’ll toil with hearts and hands;  To make this Commonwealth of ours  Renowned of all the lands;  For those who’ve come across the seas  We’ve boundless plains to share;  With courage let us all combine  To advance Australia fair  In joyful strains then let us sing  “Advance Australia fair!”",AUS
AW, Aruba beloved home our venerated cradle though small and simple you may be you are indeed esteemed  Aruba our dear country our rock so well beloved our love for you is so strong that nothing can destroy it  that nothing can destroy it   Your beaches so much admired with palm trees all adorned your coat of arms and flag the symbols of our pride   The greatness of our people is their great cordiality and may God guide and preserve its love for freedom ,ABW
AX," The land of thousand islands and skerries, Born from deep beneath the waves Åland, our Åland, our home it is Thee we long to meet  Ancient graves beneath the birches Tells of our thousand year history We will never forget the land of our Fathers No matter where we will go No matter where we will go  Lovely is our Åland when bays and straits Become blue in the bright days of spring It’s delightful to wander in forest and grove In the flowered fields of our shores  Midsummer pole to evening red sky Is raised by willing hands Farthest out in the skerry fisher village Beacons are lit by the young Beacons are lit by the young  Lovely is our Åland when the froth of waves is whirling against the mighty precipice When the church folks steer beneath the stars Over the icy depths of the sea  Even when storm roars, in the cottages’ peace The song of the spinning wheel is sung The memory of loving childhood is Happily praised by the sons Happily praised by the sons  Never have Alandian women and men Let the honour of their tribe down Warfare threatened us, but victoriously yet We carry the heritage of freedom  Loudly shall it sound, our Swedish language Spoken with an urging voice Enlighten our path like a sea mark of flames Show us where we belong Show us where we belong",ALA
AZ,"Azerbaijan! Azerbaijan! O Great Land, your children are heroes We are ready to be martyred for you We are ready to shed blood for you Three-coloured flag, flourish honourably! Three-coloured flag, flourish honourably! Thousands of lives have been sacrificed Your bosom has become a battlefield Every devoted soldier Has become a hero You are prospering My life is always dedicated to you My love for you is embedded in my heart A thousand and one times To preserve everything And to honour her flag All the youth are willing Great Land! Great Land! Azerbaijan! Azerbaijan! Azerbaijan! Azerbaijan!",AZE
BB," In plenty and in time of need When this fair land was young Our brave forefathers sowed the seed From which our pride is sprung, A pride that makes no wanton boast Of what it has withstood That binds our hearts from coast to coast –  The pride of nationhood  We loyal sons and daughters all Do hereby make it known These fields and hills beyond recall Are now our very own We write our names on history’s page With expectations great, Strict guardians of our heritage, Firm craftsmen of our fate   The Lord has been the people’s guide For past three hundred years With him still on the people’s side We have no doubts or fears Upward and onward we shall go, Inspired, exulting, free, And greater will our nation grow In strength and unity ",BRB
BD,"My Bengal of gold, I love you Forever your skies, your air set my heart in tune as if it were a flute In spring, O mother mine, the fragrance from your mango groves makes me wild with joy, Ah, what a thrill! In autumn, O mother mine, in the full blossomed paddy fields I have seen spread all over sweet smiles Ah, what beauty, what shades, what an affection, and what tenderness! What a quilt have you spread at the feet of banyan trees and along the banks of rivers! O mother mine, words from your lips are like nectar to my ears Ah, what a thrill! If sadness, O mother mine, casts a gloom on your face, my eyes are filled with tears!",BGD
